[09:30:32 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 4.24MB
[09:30:34 INF] Usage: Total CPU 16.54% | App CPU 3.99% | App Heap 4.75MB
[09:30:35 INF] Usage: Total CPU 25.33% | App CPU 4.24% | App Heap 5.16MB
[09:30:36 INF] Usage: Total CPU 7.09% | App CPU 0.00% | App Heap 5.22MB
[09:30:37 INF] Usage: Total CPU 6.67% | App CPU 0.13% | App Heap 5.22MB
[09:30:38 INF] Usage: Total CPU 2.98% | App CPU 1.54% | App Heap 5.23MB
[09:30:39 INF] Usage: Total CPU 2.27% | App CPU 0.19% | App Heap 5.30MB
[09:30:40 INF] Usage: Total CPU 0.20% | App CPU 0.13% | App Heap 5.26MB
[09:30:41 INF] Usage: Total CPU 3.30% | App CPU 0.00% | App Heap 5.26MB
[09:30:42 INF] Usage: Total CPU 2.47% | App CPU 0.26% | App Heap 5.26MB
[09:30:43 INF] Usage: Total CPU 1.33% | App CPU 0.06% | App Heap 5.25MB
[09:30:44 INF] Usage: Total CPU 0.65% | App CPU 0.06% | App Heap 5.26MB
[09:30:45 INF] Usage: Total CPU 2.16% | App CPU 0.00% | App Heap 5.26MB
[09:30:46 INF] Usage: Total CPU 0.98% | App CPU 0.00% | App Heap 5.26MB
[09:30:47 INF] Usage: Total CPU 2.00% | App CPU 0.00% | App Heap 5.26MB
[09:30:48 INF] Usage: Total CPU 1.07% | App CPU 0.00% | App Heap 5.26MB
[09:30:49 INF] Usage: Total CPU 1.03% | App CPU 0.06% | App Heap 5.19MB
[09:30:50 INF] Usage: Total CPU 0.91% | App CPU 0.00% | App Heap 5.18MB
[09:30:51 INF] Usage: Total CPU 1.90% | App CPU 0.00% | App Heap 5.18MB
[09:30:52 INF] Usage: Total CPU 1.19% | App CPU 0.13% | App Heap 5.18MB
[09:30:53 INF] Usage: Total CPU 0.37% | App CPU 0.00% | App Heap 5.18MB
[09:30:54 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 5.18MB
[09:30:55 INF] Usage: Total CPU 1.48% | App CPU 0.00% | App Heap 5.18MB
[09:30:56 INF] Usage: Total CPU 1.02% | App CPU 0.00% | App Heap 5.19MB
[09:30:57 INF] Usage: Total CPU 2.04% | App CPU 0.00% | App Heap 5.19MB
[09:30:58 INF] Usage: Total CPU 1.09% | App CPU 0.00% | App Heap 5.18MB
[09:30:59 INF] Usage: Total CPU 1.31% | App CPU 0.00% | App Heap 5.18MB
[09:31:00 INF] Usage: Total CPU 2.62% | App CPU 0.97% | App Heap 5.19MB
[09:31:01 INF] Usage: Total CPU 2.19% | App CPU 0.00% | App Heap 5.19MB
[09:31:02 INF] Usage: Total CPU 3.88% | App CPU 0.00% | App Heap 5.19MB
[09:31:03 INF] Usage: Total CPU 1.71% | App CPU 0.06% | App Heap 5.18MB
[09:31:04 INF] Usage: Total CPU 2.71% | App CPU 0.13% | App Heap 5.18MB
[09:31:45 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.29MB
[09:31:46 INF] Usage: Total CPU 20.58% | App CPU 3.83% | App Heap 4.46MB
[09:31:47 INF] Usage: Total CPU 11.43% | App CPU 1.64% | App Heap 4.58MB
[09:31:48 INF] Usage: Total CPU 8.13% | App CPU 0.00% | App Heap 4.65MB
[09:31:49 INF] Usage: Total CPU 10.34% | App CPU 0.38% | App Heap 5.00MB
[09:31:50 INF] Usage: Total CPU 6.53% | App CPU 0.83% | App Heap 5.19MB
[09:31:51 INF] Usage: Total CPU 3.54% | App CPU 1.59% | App Heap 5.27MB
[09:31:52 INF] Usage: Total CPU 3.82% | App CPU 1.54% | App Heap 5.26MB
[09:31:53 INF] Usage: Total CPU 2.17% | App CPU 0.00% | App Heap 5.25MB
[09:31:54 INF] Usage: Total CPU 5.10% | App CPU 0.39% | App Heap 5.31MB
[09:31:55 INF] Usage: Total CPU 2.89% | App CPU 1.61% | App Heap 5.38MB
[09:31:56 INF] Usage: Total CPU 0.96% | App CPU 0.00% | App Heap 5.37MB
[09:31:57 INF] Usage: Total CPU 0.01% | App CPU 0.00% | App Heap 5.37MB
[09:31:58 INF] Usage: Total CPU 1.91% | App CPU 0.00% | App Heap 5.37MB
[09:31:59 INF] Usage: Total CPU 3.23% | App CPU 0.58% | App Heap 5.38MB
[09:32:00 INF] Usage: Total CPU 2.87% | App CPU 0.00% | App Heap 5.38MB
[09:32:01 INF] Usage: Total CPU 1.24% | App CPU 0.06% | App Heap 5.37MB
[09:32:02 INF] Usage: Total CPU 0.66% | App CPU 0.00% | App Heap 5.37MB
[09:32:03 INF] Usage: Total CPU 1.58% | App CPU 0.00% | App Heap 5.37MB
[09:32:04 INF] Usage: Total CPU 2.55% | App CPU 0.00% | App Heap 5.31MB
[09:35:06 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.29MB
[09:35:07 INF] Usage: Total CPU 20.71% | App CPU 3.95% | App Heap 4.75MB
[09:35:08 INF] Usage: Total CPU 23.70% | App CPU 3.02% | App Heap 5.18MB
[09:35:09 INF] Usage: Total CPU 4.10% | App CPU 2.64% | App Heap 5.25MB
[09:35:10 INF] Usage: Total CPU 3.29% | App CPU 0.00% | App Heap 5.25MB
[09:35:11 INF] Usage: Total CPU 1.08% | App CPU 0.06% | App Heap 5.25MB
[09:35:12 INF] Usage: Total CPU 5.00% | App CPU 0.26% | App Heap 5.30MB
