[09:08:28 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.58MB
[09:08:29 INF] Usage: Total CPU 13.61% | App CPU 2.72% | App Heap 4.78MB
[09:08:30 INF] Usage: Total CPU 27.68% | App CPU 1.10% | App Heap 5.07MB
[09:08:31 INF] Usage: Total CPU 34.56% | App CPU 4.04% | App Heap 5.23MB
[09:08:32 INF] Usage: Total CPU 14.46% | App CPU 1.08% | App Heap 5.29MB
[09:08:33 INF] Usage: Total CPU 7.01% | App CPU 0.00% | App Heap 5.29MB
[09:08:34 INF] Usage: Total CPU 3.67% | App CPU 0.00% | App Heap 5.30MB
[09:08:35 INF] Usage: Total CPU 0.62% | App CPU 0.06% | App Heap 5.29MB
[09:08:36 INF] Usage: Total CPU 3.89% | App CPU 0.00% | App Heap 5.29MB
[09:08:37 INF] Usage: Total CPU 5.83% | App CPU 0.84% | App Heap 5.40MB
[09:08:38 INF] Usage: Total CPU 2.72% | App CPU 0.39% | App Heap 5.46MB
[09:08:39 INF] Usage: Total CPU 3.82% | App CPU 0.13% | App Heap 5.47MB
[09:08:40 INF] Usage: Total CPU 2.19% | App CPU 0.00% | App Heap 5.46MB
[09:08:41 INF] Usage: Total CPU 4.00% | App CPU 0.00% | App Heap 5.47MB
[09:08:42 INF] Usage: Total CPU 2.31% | App CPU 0.00% | App Heap 5.47MB
[09:08:43 INF] Usage: Total CPU 1.40% | App CPU 0.00% | App Heap 5.41MB
[09:08:44 INF] Usage: Total CPU 4.98% | App CPU 0.06% | App Heap 5.41MB
[09:08:45 INF] Usage: Total CPU 1.65% | App CPU 0.00% | App Heap 5.41MB
[09:08:46 INF] Usage: Total CPU 2.63% | App CPU 0.00% | App Heap 5.41MB
[09:08:47 INF] Usage: Total CPU 2.43% | App CPU 0.00% | App Heap 5.41MB
[09:08:48 INF] Usage: Total CPU 3.08% | App CPU 0.06% | App Heap 5.36MB
[09:08:49 INF] Usage: Total CPU 5.12% | App CPU 0.00% | App Heap 5.36MB
[09:08:50 INF] Usage: Total CPU 4.25% | App CPU 0.00% | App Heap 5.37MB
[09:08:51 INF] Usage: Total CPU 3.91% | App CPU 0.00% | App Heap 5.37MB
[09:08:52 INF] Usage: Total CPU 3.76% | App CPU 1.49% | App Heap 5.36MB
[09:38:49 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.55MB
[09:38:50 INF] Usage: Total CPU 11.21% | App CPU 2.11% | App Heap 4.84MB
[09:38:51 INF] Usage: Total CPU 10.15% | App CPU 2.17% | App Heap 5.28MB
[09:38:52 INF] Usage: Total CPU 3.22% | App CPU 0.19% | App Heap 5.34MB
[09:38:53 INF] Usage: Total CPU 5.54% | App CPU 0.00% | App Heap 5.34MB
[09:38:54 INF] Usage: Total CPU 2.22% | App CPU 0.00% | App Heap 5.34MB
[09:38:55 INF] Usage: Total CPU 2.95% | App CPU 0.00% | App Heap 5.35MB
[09:38:56 INF] Usage: Total CPU 1.78% | App CPU 0.00% | App Heap 5.35MB
[09:38:57 INF] Usage: Total CPU 1.92% | App CPU 0.00% | App Heap 5.34MB
[09:38:58 INF] Usage: Total CPU 2.23% | App CPU 0.00% | App Heap 5.34MB
[09:38:59 INF] Usage: Total CPU 1.33% | App CPU 0.06% | App Heap 5.31MB
[09:39:00 INF] Usage: Total CPU 6.20% | App CPU 0.00% | App Heap 5.31MB
[09:39:01 INF] Usage: Total CPU 5.72% | App CPU 1.54% | App Heap 5.31MB
[09:39:02 INF] Usage: Total CPU 3.69% | App CPU 1.48% | App Heap 5.31MB
[09:39:03 INF] Usage: Total CPU 2.61% | App CPU 0.06% | App Heap 5.31MB
[09:39:04 INF] Usage: Total CPU 3.17% | App CPU 0.00% | App Heap 5.31MB
[09:39:05 INF] Usage: Total CPU 2.97% | App CPU 0.45% | App Heap 5.42MB
[09:39:06 INF] Usage: Total CPU 11.79% | App CPU 2.70% | App Heap 6.78MB
[09:39:07 INF] Usage: Total CPU 8.96% | App CPU 3.39% | App Heap 7.28MB
[09:39:08 INF] Usage: Total CPU 6.29% | App CPU 1.14% | App Heap 7.38MB
[09:39:09 INF] Usage: Total CPU 2.14% | App CPU 1.48% | App Heap 7.39MB
[09:39:10 INF] Usage: Total CPU 1.57% | App CPU 0.06% | App Heap 7.39MB
[09:39:11 INF] Usage: Total CPU 2.45% | App CPU 0.00% | App Heap 7.39MB
[09:39:12 INF] Usage: Total CPU 1.73% | App CPU 0.00% | App Heap 7.35MB
[09:39:13 INF] Usage: Total CPU 1.38% | App CPU 0.00% | App Heap 7.35MB
[09:39:14 INF] Usage: Total CPU 3.13% | App CPU 0.13% | App Heap 7.32MB
