[09:26:12 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.59MB
[09:26:13 INF] Usage: Total CPU 20.26% | App CPU 3.94% | App Heap 5.19MB
[09:26:14 INF] Usage: Total CPU 14.19% | App CPU 1.76% | App Heap 5.33MB
[09:26:15 INF] Usage: Total CPU 6.33% | App CPU 1.86% | App Heap 5.40MB
[09:26:16 INF] Usage: Total CPU 4.55% | App CPU 0.00% | App Heap 5.40MB
[09:26:17 INF] Usage: Total CPU 3.20% | App CPU 0.00% | App Heap 5.41MB
[09:26:18 INF] Usage: Total CPU 24.09% | App CPU 0.00% | App Heap 5.40MB
[09:26:19 INF] Usage: Total CPU 58.56% | App CPU 0.12% | App Heap 5.40MB
[09:26:20 INF] Usage: Total CPU 50.82% | App CPU 0.06% | App Heap 5.38MB
[09:26:21 INF] Usage: Total CPU 18.62% | App CPU 1.55% | App Heap 5.38MB
[09:26:22 INF] Usage: Total CPU 18.97% | App CPU 0.06% | App Heap 5.38MB
[09:26:23 INF] Usage: Total CPU 45.55% | App CPU 0.06% | App Heap 5.38MB
[09:26:24 INF] Usage: Total CPU 10.73% | App CPU 0.06% | App Heap 5.38MB
[09:26:25 INF] Usage: Total CPU 14.30% | App CPU 1.61% | App Heap 5.38MB
[09:26:26 INF] Usage: Total CPU 8.26% | App CPU 0.00% | App Heap 5.35MB
[09:26:27 INF] Usage: Total CPU 14.30% | App CPU 0.00% | App Heap 5.35MB
[09:26:28 INF] Usage: Total CPU 9.81% | App CPU 0.06% | App Heap 5.35MB
[09:26:29 INF] Usage: Total CPU 5.18% | App CPU 0.06% | App Heap 5.35MB
[09:26:30 INF] Usage: Total CPU 13.82% | App CPU 0.00% | App Heap 5.35MB
[09:26:31 INF] Usage: Total CPU 7.93% | App CPU 0.00% | App Heap 5.35MB
[09:26:32 INF] Usage: Total CPU 14.13% | App CPU 0.00% | App Heap 5.35MB
[09:26:33 INF] Usage: Total CPU 14.90% | App CPU 1.48% | App Heap 5.35MB
[09:26:34 INF] Usage: Total CPU 30.07% | App CPU 0.00% | App Heap 5.29MB
[09:26:36 INF] Usage: Total CPU 81.33% | App CPU 0.00% | App Heap 5.35MB
[09:26:37 INF] Usage: Total CPU 63.69% | App CPU 0.06% | App Heap 5.35MB
[09:26:38 INF] Usage: Total CPU 17.11% | App CPU 0.00% | App Heap 5.35MB
[09:26:39 INF] Usage: Total CPU 7.53% | App CPU 0.00% | App Heap 5.35MB
[09:26:40 INF] Usage: Total CPU 6.81% | App CPU 0.00% | App Heap 5.35MB
[09:26:41 INF] Usage: Total CPU 11.77% | App CPU 0.00% | App Heap 5.35MB
[09:26:42 INF] Usage: Total CPU 17.75% | App CPU 0.06% | App Heap 5.35MB
[09:26:43 INF] Usage: Total CPU 36.61% | App CPU 0.00% | App Heap 5.35MB
[09:26:44 INF] Usage: Total CPU 32.23% | App CPU 1.31% | App Heap 5.35MB
[09:26:45 INF] Usage: Total CPU 11.37% | App CPU 1.54% | App Heap 5.35MB
[09:26:46 INF] Usage: Total CPU 9.57% | App CPU 0.06% | App Heap 5.35MB
[09:26:47 INF] Usage: Total CPU 2.73% | App CPU 0.00% | App Heap 5.36MB
[09:26:48 INF] Usage: Total CPU 3.93% | App CPU 0.00% | App Heap 5.35MB
[09:26:49 INF] Usage: Total CPU 7.14% | App CPU 0.00% | App Heap 5.35MB
[09:26:50 INF] Usage: Total CPU 13.18% | App CPU 1.55% | App Heap 5.35MB
[09:26:51 INF] Usage: Total CPU 10.36% | App CPU 0.00% | App Heap 5.35MB
[09:26:52 INF] Usage: Total CPU 17.53% | App CPU 1.16% | App Heap 5.36MB
[09:26:53 INF] Usage: Total CPU 6.29% | App CPU 0.06% | App Heap 5.36MB
[09:26:54 INF] Usage: Total CPU 4.98% | App CPU 0.00% | App Heap 5.36MB
[09:26:55 INF] Usage: Total CPU 7.41% | App CPU 0.06% | App Heap 5.36MB
[09:26:56 INF] Usage: Total CPU 6.89% | App CPU 0.06% | App Heap 5.33MB
[09:26:57 INF] Usage: Total CPU 7.84% | App CPU 0.00% | App Heap 5.26MB
[09:26:58 INF] Usage: Total CPU 10.05% | App CPU 0.00% | App Heap 5.26MB
[09:26:59 INF] Usage: Total CPU 5.89% | App CPU 0.00% | App Heap 5.26MB
[09:27:00 INF] Usage: Total CPU 12.55% | App CPU 0.00% | App Heap 5.26MB
[09:27:01 INF] Usage: Total CPU 16.92% | App CPU 1.42% | App Heap 5.26MB
[09:27:02 INF] Usage: Total CPU 5.07% | App CPU 0.00% | App Heap 5.27MB
[09:27:03 INF] Usage: Total CPU 6.55% | App CPU 0.00% | App Heap 5.27MB
[09:27:04 INF] Usage: Total CPU 5.97% | App CPU 1.54% | App Heap 5.26MB
[09:27:05 INF] Usage: Total CPU 1.26% | App CPU 0.00% | App Heap 5.26MB
[09:27:06 INF] Usage: Total CPU 3.09% | App CPU 0.00% | App Heap 5.26MB
[09:27:07 INF] Usage: Total CPU 3.60% | App CPU 1.55% | App Heap 5.26MB
[09:27:08 INF] Usage: Total CPU 1.29% | App CPU 0.00% | App Heap 5.26MB
[09:27:09 INF] Usage: Total CPU 6.15% | App CPU 0.00% | App Heap 5.26MB
[09:27:10 INF] Usage: Total CPU 0.99% | App CPU 0.00% | App Heap 5.27MB
[09:27:11 INF] Usage: Total CPU 4.47% | App CPU 0.00% | App Heap 5.27MB
[09:27:12 INF] Usage: Total CPU 1.82% | App CPU 0.06% | App Heap 5.26MB
[09:27:13 INF] Usage: Total CPU 3.14% | App CPU 0.00% | App Heap 5.26MB
[09:27:14 INF] Usage: Total CPU 7.74% | App CPU 0.19% | App Heap 5.26MB
[09:27:15 INF] Usage: Total CPU 5.57% | App CPU 0.00% | App Heap 5.26MB
[09:27:16 INF] Usage: Total CPU 3.11% | App CPU 0.00% | App Heap 5.26MB
[09:27:17 INF] Usage: Total CPU 1.93% | App CPU 0.00% | App Heap 5.26MB
[09:27:18 INF] Usage: Total CPU 2.40% | App CPU 0.00% | App Heap 5.26MB
[09:27:19 INF] Usage: Total CPU 2.55% | App CPU 0.00% | App Heap 5.26MB
[09:27:20 INF] Usage: Total CPU 2.28% | App CPU 0.00% | App Heap 5.25MB
[09:27:21 INF] Usage: Total CPU 5.14% | App CPU 0.00% | App Heap 5.25MB
[09:27:22 INF] Usage: Total CPU 0.68% | App CPU 0.00% | App Heap 5.25MB
[09:27:23 INF] Usage: Total CPU 0.55% | App CPU 0.06% | App Heap 5.25MB
[09:27:24 INF] Usage: Total CPU 2.90% | App CPU 0.00% | App Heap 5.25MB
[09:27:25 INF] Usage: Total CPU 0.43% | App CPU 0.00% | App Heap 5.25MB
[09:27:26 INF] Usage: Total CPU 0.49% | App CPU 0.00% | App Heap 5.24MB
[09:27:27 INF] Usage: Total CPU 3.15% | App CPU 0.00% | App Heap 5.25MB
[09:27:28 INF] Usage: Total CPU 0.56% | App CPU 0.00% | App Heap 5.23MB
[09:27:29 INF] Usage: Total CPU 0.46% | App CPU 0.00% | App Heap 5.23MB
[09:27:30 INF] Usage: Total CPU 1.55% | App CPU 0.00% | App Heap 5.23MB
[09:27:31 INF] Usage: Total CPU 6.17% | App CPU 0.00% | App Heap 5.23MB
[09:27:32 INF] Usage: Total CPU 14.10% | App CPU 0.06% | App Heap 5.23MB
[09:27:33 INF] Usage: Total CPU 18.67% | App CPU 0.00% | App Heap 5.23MB
[09:27:34 INF] Usage: Total CPU 13.95% | App CPU 0.13% | App Heap 5.23MB
[09:27:35 INF] Usage: Total CPU 11.44% | App CPU 1.48% | App Heap 5.23MB
[09:27:36 INF] Usage: Total CPU 9.76% | App CPU 0.00% | App Heap 5.23MB
[09:27:37 INF] Usage: Total CPU 11.99% | App CPU 0.00% | App Heap 5.23MB
[09:27:38 INF] Usage: Total CPU 12.52% | App CPU 1.22% | App Heap 5.23MB
[09:27:39 INF] Usage: Total CPU 8.19% | App CPU 0.06% | App Heap 5.23MB
[09:27:40 INF] Usage: Total CPU 11.96% | App CPU 0.00% | App Heap 5.23MB
[09:27:41 INF] Usage: Total CPU 11.52% | App CPU 0.00% | App Heap 5.23MB
[09:27:42 INF] Usage: Total CPU 15.00% | App CPU 1.55% | App Heap 5.23MB
[09:27:43 INF] Usage: Total CPU 11.76% | App CPU 0.00% | App Heap 5.23MB
[09:27:44 INF] Usage: Total CPU 13.69% | App CPU 1.54% | App Heap 5.23MB
[09:27:45 INF] Usage: Total CPU 9.48% | App CPU 0.00% | App Heap 5.23MB
[09:27:46 INF] Usage: Total CPU 9.36% | App CPU 0.00% | App Heap 5.23MB
[09:27:47 INF] Usage: Total CPU 12.42% | App CPU 0.00% | App Heap 5.23MB
[09:27:48 INF] Usage: Total CPU 17.81% | App CPU 1.56% | App Heap 5.24MB
[09:27:49 INF] Usage: Total CPU 6.26% | App CPU 0.00% | App Heap 5.23MB
[09:27:50 INF] Usage: Total CPU 5.69% | App CPU 0.00% | App Heap 5.23MB
[09:27:51 INF] Usage: Total CPU 6.46% | App CPU 0.00% | App Heap 5.23MB
[09:27:52 INF] Usage: Total CPU 7.02% | App CPU 0.00% | App Heap 5.23MB
[09:27:53 INF] Usage: Total CPU 10.59% | App CPU 0.00% | App Heap 5.23MB
[09:27:54 INF] Usage: Total CPU 5.69% | App CPU 0.58% | App Heap 5.23MB
[09:27:55 INF] Usage: Total CPU 1.81% | App CPU 0.00% | App Heap 5.24MB
[09:27:57 INF] Usage: Total CPU 3.37% | App CPU 0.00% | App Heap 5.23MB
[09:27:58 INF] Usage: Total CPU 3.42% | App CPU 0.51% | App Heap 5.24MB
[09:27:59 INF] Usage: Total CPU 0.86% | App CPU 0.00% | App Heap 5.24MB
[09:28:00 INF] Usage: Total CPU 1.04% | App CPU 0.00% | App Heap 5.24MB
[09:28:01 INF] Usage: Total CPU 6.86% | App CPU 0.00% | App Heap 5.24MB
[09:28:02 INF] Usage: Total CPU 4.53% | App CPU 1.55% | App Heap 5.24MB
[09:28:03 INF] Usage: Total CPU 1.81% | App CPU 0.00% | App Heap 5.24MB
[09:28:04 INF] Usage: Total CPU 2.34% | App CPU 0.00% | App Heap 5.24MB
[09:28:05 INF] Usage: Total CPU 1.83% | App CPU 0.00% | App Heap 5.24MB
[09:28:06 INF] Usage: Total CPU 2.51% | App CPU 0.00% | App Heap 5.24MB
[09:28:07 INF] Usage: Total CPU 3.19% | App CPU 0.00% | App Heap 5.24MB
[09:28:08 INF] Usage: Total CPU 1.69% | App CPU 0.00% | App Heap 5.24MB
[09:28:09 INF] Usage: Total CPU 3.90% | App CPU 0.06% | App Heap 5.24MB
[09:28:10 INF] Usage: Total CPU 1.25% | App CPU 0.00% | App Heap 5.24MB
[09:28:11 INF] Usage: Total CPU 3.05% | App CPU 0.00% | App Heap 5.24MB
[09:28:12 INF] Usage: Total CPU 2.57% | App CPU 0.00% | App Heap 5.24MB
[09:28:13 INF] Usage: Total CPU 2.09% | App CPU 0.00% | App Heap 5.24MB
[09:28:14 INF] Usage: Total CPU 1.98% | App CPU 0.00% | App Heap 5.24MB
[09:28:15 INF] Usage: Total CPU 1.37% | App CPU 0.00% | App Heap 5.24MB
