[09:43:30 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.90MB
[09:43:31 INF] Usage: Total CPU 20.97% | App CPU 2.74% | App Heap 4.59MB
[09:43:33 INF] Usage: Total CPU 34.18% | App CPU 3.91% | App Heap 5.34MB
[09:43:34 INF] Usage: Total CPU 9.71% | App CPU 1.92% | App Heap 5.41MB
[09:43:35 INF] Usage: Total CPU 13.69% | App CPU 1.55% | App Heap 5.47MB
[09:43:36 INF] Usage: Total CPU 7.47% | App CPU 0.06% | App Heap 5.47MB
[09:43:37 INF] Usage: Total CPU 6.85% | App CPU 0.06% | App Heap 5.47MB
[09:43:38 INF] Usage: Total CPU 5.97% | App CPU 0.00% | App Heap 5.46MB
[09:43:39 INF] Usage: Total CPU 10.71% | App CPU 3.50% | App Heap 6.68MB
[09:43:40 INF] Usage: Total CPU 12.07% | App CPU 1.92% | App Heap 7.36MB
[09:43:41 INF] Usage: Total CPU 10.30% | App CPU 0.58% | App Heap 7.44MB
[09:43:42 INF] Usage: Total CPU 6.59% | App CPU 1.04% | App Heap 7.49MB
[09:57:01 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.91MB
[09:57:02 INF] Usage: Total CPU 29.84% | App CPU 3.27% | App Heap 4.63MB
[09:57:03 INF] Usage: Total CPU 30.73% | App CPU 4.21% | App Heap 5.31MB
[09:57:04 INF] Usage: Total CPU 7.94% | App CPU 1.28% | App Heap 5.37MB
[09:57:05 INF] Usage: Total CPU 7.53% | App CPU 0.00% | App Heap 5.37MB
[09:57:06 INF] Usage: Total CPU 6.05% | App CPU 0.00% | App Heap 5.38MB
[09:57:07 INF] Usage: Total CPU 1.58% | App CPU 0.06% | App Heap 5.45MB
[09:57:08 INF] Usage: Total CPU 2.81% | App CPU 0.00% | App Heap 5.44MB
[09:57:09 INF] Usage: Total CPU 7.21% | App CPU 0.00% | App Heap 5.43MB
[09:57:10 INF] Usage: Total CPU 11.92% | App CPU 1.55% | App Heap 5.49MB
[09:57:11 INF] Usage: Total CPU 3.54% | App CPU 0.00% | App Heap 5.49MB
[09:57:12 INF] Usage: Total CPU 15.06% | App CPU 0.00% | App Heap 5.49MB
[09:57:13 INF] Usage: Total CPU 9.11% | App CPU 0.26% | App Heap 5.70MB
[09:57:14 INF] Usage: Total CPU 9.15% | App CPU 0.39% | App Heap 5.68MB
[09:57:15 INF] Usage: Total CPU 2.82% | App CPU 0.13% | App Heap 5.68MB
[09:57:16 INF] Usage: Total CPU 1.10% | App CPU 0.06% | App Heap 5.69MB
[09:57:17 INF] Usage: Total CPU 1.43% | App CPU 0.00% | App Heap 5.68MB
[09:57:18 INF] Usage: Total CPU 1.90% | App CPU 0.06% | App Heap 5.69MB
[09:57:19 INF] Usage: Total CPU 0.75% | App CPU 0.06% | App Heap 5.67MB
[09:57:20 INF] Usage: Total CPU 1.00% | App CPU 0.00% | App Heap 5.68MB
[09:57:21 INF] Usage: Total CPU 4.45% | App CPU 0.06% | App Heap 5.68MB
[09:57:22 INF] Usage: Total CPU 5.87% | App CPU 0.00% | App Heap 5.68MB
[09:57:23 INF] Usage: Total CPU 0.11% | App CPU 0.06% | App Heap 5.64MB
[09:57:24 INF] Usage: Total CPU 3.15% | App CPU 0.00% | App Heap 5.64MB
[09:57:25 INF] Usage: Total CPU 1.54% | App CPU 0.00% | App Heap 5.64MB
[09:57:26 INF] Usage: Total CPU 2.37% | App CPU 0.06% | App Heap 5.64MB
[09:57:27 INF] Usage: Total CPU 5.23% | App CPU 0.00% | App Heap 5.64MB
[09:57:28 INF] Usage: Total CPU 1.61% | App CPU 0.00% | App Heap 5.64MB
[09:57:29 INF] Usage: Total CPU 7.12% | App CPU 0.00% | App Heap 5.64MB
[09:57:30 INF] Usage: Total CPU 12.17% | App CPU 1.03% | App Heap 5.64MB
[09:57:31 INF] Usage: Total CPU 8.13% | App CPU 0.32% | App Heap 5.64MB
[09:57:32 INF] Usage: Total CPU 16.12% | App CPU 4.09% | App Heap 6.07MB
[09:57:33 INF] Usage: Total CPU 18.35% | App CPU 2.77% | App Heap 6.09MB
[09:57:34 INF] Usage: Total CPU 21.65% | App CPU 1.72% | App Heap 6.20MB
[09:57:35 INF] Usage: Total CPU 16.24% | App CPU 0.00% | App Heap 6.20MB
[09:57:36 INF] Usage: Total CPU 12.55% | App CPU 0.00% | App Heap 6.27MB
[09:57:37 INF] Usage: Total CPU 6.29% | App CPU 0.00% | App Heap 6.27MB
[09:57:38 INF] Usage: Total CPU 8.05% | App CPU 0.00% | App Heap 6.27MB
[09:57:39 INF] Usage: Total CPU 11.73% | App CPU 0.06% | App Heap 6.27MB
[09:57:40 INF] Usage: Total CPU 12.24% | App CPU 0.00% | App Heap 6.26MB
[09:57:42 INF] Usage: Total CPU 16.02% | App CPU 0.00% | App Heap 6.26MB
[09:57:43 INF] Usage: Total CPU 23.83% | App CPU 1.06% | App Heap 6.26MB
[09:57:44 INF] Usage: Total CPU 32.25% | App CPU 0.45% | App Heap 6.26MB
[09:57:45 INF] Usage: Total CPU 28.96% | App CPU 0.00% | App Heap 6.23MB
[09:57:46 INF] Usage: Total CPU 28.38% | App CPU 2.12% | App Heap 6.70MB
[09:57:47 INF] Usage: Total CPU 17.65% | App CPU 0.93% | App Heap 6.72MB
[09:57:48 INF] Usage: Total CPU 18.72% | App CPU 0.00% | App Heap 6.68MB
[09:57:49 INF] Usage: Total CPU 14.72% | App CPU 0.00% | App Heap 6.68MB
[09:57:50 INF] Usage: Total CPU 14.20% | App CPU 0.06% | App Heap 6.68MB
[09:57:51 INF] Usage: Total CPU 15.78% | App CPU 0.06% | App Heap 6.68MB
[09:57:52 INF] Usage: Total CPU 12.49% | App CPU 0.00% | App Heap 6.67MB
[09:57:53 INF] Usage: Total CPU 12.78% | App CPU 0.06% | App Heap 6.67MB
[09:57:54 INF] Usage: Total CPU 13.85% | App CPU 1.54% | App Heap 6.67MB
[09:57:55 INF] Usage: Total CPU 12.28% | App CPU 1.54% | App Heap 6.75MB
[09:57:56 INF] Usage: Total CPU 8.53% | App CPU 0.57% | App Heap 6.72MB
[09:57:57 INF] Usage: Total CPU 11.03% | App CPU 3.13% | App Heap 6.86MB
[09:57:58 INF] Usage: Total CPU 5.17% | App CPU 0.70% | App Heap 6.87MB
[09:57:59 INF] Usage: Total CPU 4.71% | App CPU 0.13% | App Heap 6.86MB
[09:58:00 INF] Usage: Total CPU 3.26% | App CPU 1.54% | App Heap 6.86MB
[09:58:01 INF] Usage: Total CPU 4.31% | App CPU 0.13% | App Heap 6.86MB
[09:58:02 INF] Usage: Total CPU 11.98% | App CPU 0.13% | App Heap 6.85MB
[09:58:03 INF] Usage: Total CPU 8.93% | App CPU 1.38% | App Heap 6.85MB
[09:58:04 INF] Usage: Total CPU 7.94% | App CPU 0.19% | App Heap 6.85MB
[09:58:05 INF] Usage: Total CPU 3.25% | App CPU 0.00% | App Heap 6.85MB
[09:58:06 INF] Usage: Total CPU 8.94% | App CPU 1.21% | App Heap 6.85MB
[09:58:07 INF] Usage: Total CPU 8.23% | App CPU 0.58% | App Heap 6.91MB
[09:58:08 INF] Usage: Total CPU 3.31% | App CPU 0.00% | App Heap 6.91MB
[09:58:09 INF] Usage: Total CPU 2.15% | App CPU 0.00% | App Heap 6.92MB
[09:58:10 INF] Usage: Total CPU 2.85% | App CPU 0.00% | App Heap 6.92MB
[09:58:11 INF] Usage: Total CPU 3.49% | App CPU 0.00% | App Heap 6.91MB
[09:58:12 INF] Usage: Total CPU 1.99% | App CPU 0.13% | App Heap 6.89MB
[09:58:13 INF] Usage: Total CPU 3.32% | App CPU 0.06% | App Heap 6.90MB
[09:58:14 INF] Usage: Total CPU 2.63% | App CPU 0.77% | App Heap 6.89MB
[09:58:15 INF] Usage: Total CPU 3.42% | App CPU 0.06% | App Heap 6.90MB
[09:58:16 INF] Usage: Total CPU 3.35% | App CPU 0.00% | App Heap 6.90MB
[09:58:17 INF] Usage: Total CPU 3.43% | App CPU 1.54% | App Heap 6.89MB
[09:58:18 INF] Usage: Total CPU 7.54% | App CPU 0.25% | App Heap 6.91MB
[09:58:19 INF] Usage: Total CPU 5.58% | App CPU 1.31% | App Heap 6.92MB
[09:58:20 INF] Usage: Total CPU 4.09% | App CPU 0.00% | App Heap 6.92MB
[09:58:21 INF] Usage: Total CPU 4.00% | App CPU 1.61% | App Heap 6.92MB
[09:58:22 INF] Usage: Total CPU 2.79% | App CPU 0.00% | App Heap 6.92MB
[09:58:23 INF] Usage: Total CPU 16.32% | App CPU 1.86% | App Heap 6.97MB
[09:58:24 INF] Usage: Total CPU 5.21% | App CPU 0.06% | App Heap 7.04MB
[09:58:25 INF] Usage: Total CPU 6.50% | App CPU 0.00% | App Heap 7.10MB
[09:58:26 INF] Usage: Total CPU 4.64% | App CPU 0.00% | App Heap 7.08MB
[09:58:27 INF] Usage: Total CPU 5.26% | App CPU 0.00% | App Heap 7.07MB
[09:58:28 INF] Usage: Total CPU 3.73% | App CPU 0.00% | App Heap 7.21MB
[09:58:29 INF] Usage: Total CPU 5.66% | App CPU 0.00% | App Heap 7.17MB
[09:58:30 INF] Usage: Total CPU 4.09% | App CPU 0.00% | App Heap 7.17MB
[09:58:31 INF] Usage: Total CPU 2.78% | App CPU 1.56% | App Heap 7.18MB
[09:58:32 INF] Usage: Total CPU 1.84% | App CPU 0.00% | App Heap 7.11MB
[09:58:33 INF] Usage: Total CPU 0.92% | App CPU 0.00% | App Heap 7.11MB
[09:58:34 INF] Usage: Total CPU 1.71% | App CPU 0.00% | App Heap 7.11MB
[09:58:35 INF] Usage: Total CPU 1.98% | App CPU 0.00% | App Heap 7.11MB
[09:58:36 INF] Usage: Total CPU 2.96% | App CPU 0.00% | App Heap 7.10MB
[09:58:37 INF] Usage: Total CPU 5.27% | App CPU 0.00% | App Heap 7.03MB
[09:58:38 INF] Usage: Total CPU 1.34% | App CPU 0.82% | App Heap 7.04MB
[09:58:39 INF] Usage: Total CPU 3.48% | App CPU 0.00% | App Heap 7.04MB
[09:58:41 INF] Usage: Total CPU 4.82% | App CPU 0.97% | App Heap 7.04MB
[09:58:42 INF] Usage: Total CPU 1.27% | App CPU 0.00% | App Heap 7.03MB
[09:58:43 INF] Usage: Total CPU 3.40% | App CPU 0.00% | App Heap 6.97MB
[09:58:44 INF] Usage: Total CPU 8.95% | App CPU 1.54% | App Heap 6.66MB
[09:58:45 INF] Usage: Total CPU 5.06% | App CPU 1.48% | App Heap 6.66MB
[09:58:46 INF] Usage: Total CPU 4.87% | App CPU 0.00% | App Heap 6.67MB
[09:58:47 INF] Usage: Total CPU 3.38% | App CPU 0.00% | App Heap 6.66MB
[09:58:48 INF] Usage: Total CPU 2.20% | App CPU 0.00% | App Heap 6.67MB
[09:58:49 INF] Usage: Total CPU 3.92% | App CPU 0.00% | App Heap 6.54MB
[09:58:50 INF] Usage: Total CPU 5.24% | App CPU 0.00% | App Heap 6.54MB
[09:58:51 INF] Usage: Total CPU 3.95% | App CPU 0.26% | App Heap 6.60MB
[09:58:52 INF] Usage: Total CPU 1.62% | App CPU 0.00% | App Heap 6.63MB
[09:58:53 INF] Usage: Total CPU 5.73% | App CPU 0.00% | App Heap 6.63MB
[09:58:54 INF] Usage: Total CPU 2.16% | App CPU 0.06% | App Heap 6.63MB
[09:58:55 INF] Usage: Total CPU 6.26% | App CPU 0.00% | App Heap 6.60MB
[09:58:56 INF] Usage: Total CPU 1.88% | App CPU 0.00% | App Heap 6.61MB
[09:58:57 INF] Usage: Total CPU 1.90% | App CPU 0.06% | App Heap 6.60MB
[09:58:58 INF] Usage: Total CPU 1.60% | App CPU 0.00% | App Heap 6.60MB
