[09:34:02 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.58MB
[09:34:03 INF] Usage: Total CPU 25.25% | App CPU 3.18% | App Heap 4.35MB
[09:34:04 INF] Usage: Total CPU 35.19% | App CPU 2.92% | App Heap 5.23MB
[09:34:05 INF] Usage: Total CPU 6.61% | App CPU 0.00% | App Heap 5.30MB
[09:34:06 INF] Usage: Total CPU 13.96% | App CPU 0.58% | App Heap 5.28MB
[09:34:07 INF] Usage: Total CPU 6.09% | App CPU 0.39% | App Heap 5.35MB
[09:34:08 INF] Usage: Total CPU 7.40% | App CPU 1.60% | App Heap 5.34MB
[09:34:09 INF] Usage: Total CPU 6.19% | App CPU 1.42% | App Heap 5.34MB
[09:34:10 INF] Usage: Total CPU 6.47% | App CPU 0.00% | App Heap 5.34MB
[09:34:11 INF] Usage: Total CPU 3.38% | App CPU 0.13% | App Heap 5.35MB
[09:34:12 INF] Usage: Total CPU 1.25% | App CPU 0.00% | App Heap 5.33MB
[09:34:13 INF] Usage: Total CPU 2.40% | App CPU 0.00% | App Heap 5.32MB
[09:34:14 INF] Usage: Total CPU 4.69% | App CPU 0.13% | App Heap 5.32MB
[09:34:15 INF] Usage: Total CPU 1.73% | App CPU 0.06% | App Heap 5.33MB
[09:34:16 INF] Usage: Total CPU 3.02% | App CPU 0.06% | App Heap 5.29MB
[09:34:17 INF] Usage: Total CPU 1.46% | App CPU 0.00% | App Heap 5.25MB
[09:34:18 INF] Usage: Total CPU 1.76% | App CPU 0.00% | App Heap 5.26MB
[09:34:19 INF] Usage: Total CPU 0.45% | App CPU 0.06% | App Heap 5.26MB
[09:34:20 INF] Usage: Total CPU 6.90% | App CPU 0.00% | App Heap 5.26MB
[09:34:21 INF] Usage: Total CPU 4.13% | App CPU 0.06% | App Heap 5.26MB
[09:34:22 INF] Usage: Total CPU 4.76% | App CPU 0.00% | App Heap 5.25MB
[09:34:23 INF] Usage: Total CPU 2.15% | App CPU 0.06% | App Heap 5.25MB
[09:34:24 INF] Usage: Total CPU 1.44% | App CPU 0.00% | App Heap 5.26MB
[09:34:26 INF] Usage: Total CPU 8.08% | App CPU 0.00% | App Heap 5.25MB
[09:34:27 INF] Usage: Total CPU 4.96% | App CPU 0.90% | App Heap 5.25MB
[09:34:28 INF] Usage: Total CPU 1.51% | App CPU 0.00% | App Heap 5.18MB
[09:34:29 INF] Usage: Total CPU 1.18% | App CPU 0.00% | App Heap 5.25MB
[09:34:30 INF] Usage: Total CPU 2.61% | App CPU 0.00% | App Heap 5.25MB
[09:34:31 INF] Usage: Total CPU 4.28% | App CPU 0.06% | App Heap 5.25MB
[09:34:32 INF] Usage: Total CPU 3.41% | App CPU 1.61% | App Heap 5.25MB
[09:34:33 INF] Usage: Total CPU 0.72% | App CPU 0.00% | App Heap 5.25MB
[09:34:34 INF] Usage: Total CPU 4.50% | App CPU 0.32% | App Heap 5.25MB
[09:34:35 INF] Usage: Total CPU 4.39% | App CPU 1.60% | App Heap 5.25MB
[09:34:36 INF] Usage: Total CPU 4.33% | App CPU 1.55% | App Heap 5.25MB
[09:34:37 INF] Usage: Total CPU 0.76% | App CPU 0.00% | App Heap 5.25MB
[09:34:38 INF] Usage: Total CPU 2.44% | App CPU 0.00% | App Heap 5.25MB
